"","Divvy_trips2$member_casual","Divvy_trips2$day_of_the_week","Divvy_trips2$ride_length_2"
"1","casual","Sunday",1676.0869208393
"2","member","Sunday",1463.78790127807
"3","casual","Monday",1219.01894967251
"4","member","Monday",996.184741224453
"5","casual","Tuesday",1038.55812329421
"6","member","Tuesday",888.65109843027
"7","casual","Wednesday",999.425586613069
"8","member","Wednesday",915.398688009601
"9","casual","Thursday",1073.49296214388
"10","member","Thursday",899.199979621024
"11","casual","Friday",1195.83741965558
"12","member","Friday",1057.90037738263
"13","casual","Saturday",1513.29077759072
"14","member","Saturday",1321.26868969669
